model_name,threshold,net_benefit,standardized_net_benefit,tp,fp,tn,fn,predicted_positive,predicted_negative
Clinical Logistic strong_v2,0.01,0.4474982381959126,0.987804119220957,487,588,0,0,1075,0
Clinical Logistic strong_v2,0.02,0.4418604651162791,0.9753593429158112,487,588,0,0,1075,0
Clinical Logistic strong_v2,0.03,0.43610644929273557,0.962657973284786,487,588,0,0,1075,0
Clinical Logistic strong_v2,0.04,0.43023255813953487,0.9496919917864476,487,588,0,0,1075,0
Clinical Logistic strong_v2,0.05,0.424235006119951,0.9364530422565654,487,588,0,0,1075,0
Clinical Logistic strong_v2,0.060000000000000005,0.4181098466105888,0.9229324129494517,487,588,0,0,1075,0
Clinical Logistic strong_v2,0.06999999999999999,0.4118529632408102,0.9091210174206796,487,588,0,0,1075,0
Clinical Logistic strong_v2,0.08,0.40546006066734075,0.8950093741630212,487,588,0,0,1075,0
Clinical Logistic strong_v2,0.09,0.39892665474060823,0.8805875848996999,487,588,0,0,1075,0
Clinical Logistic strong_v2,0.09999999999999999,0.3922480620155039,0.8658453114305271,487,588,0,0,1075,0
Clinical Logistic strong_v2,0.11,0.3854193885550039,0.8507717509171031,487,588,0,0,1075,0
Clinical Logistic strong_v2,0.12,0.3784355179704017,0.8353556094829196,487,588,0,0,1075,0
Clinical Logistic strong_v2,0.13,0.37129109863672816,0.8195850739927778,487,588,0,0,1075,0
Clinical Logistic strong_v2,0.14,0.363980530016225,0.8034477818633303,487,588,0,0,1075,0
Clinical Logistic strong_v2,0.15000000000000002,0.3564979480164158,0.7869307887426017,487,588,0,0,1075,0
Clinical Logistic strong_v2,0.16,0.34883720930232553,0.7700205338809034,487,588,0,0,1075,0
Clinical Logistic strong_v2,0.17,0.34099187447464274,0.7527028029984414,487,588,0,0,1075,0
Clinical Logistic strong_v2,0.18000000000000002,0.33295519001701646,0.7349626884359193,487,588,0,0,1075,0
Clinical Logistic strong_v2,0.19,0.32472006890611543,0.7167845463533349,487,588,0,0,1075,0
Clinical Logistic strong_v2,0.2,0.31627906976744186,0.6981519507186859,487,588,0,0,1075,0
Clinical Logistic strong_v2,0.21000000000000002,0.30762437444804236,0.6790476438021469,487,588,0,0,1075,0
Clinical Logistic strong_v2,0.22,0.2987477638640429,0.659453482862107,487,588,0,0,1075,0
Clinical Logistic strong_v2,0.23,0.28964059196617337,0.6393503826768714,487,588,0,0,1075,0
Clinical Logistic strong_v2,0.24000000000000002,0.2802937576499388,0.6187182535393927,487,588,0,0,1075,0
Clinical Logistic strong_v2,0.25,0.27069767441860465,0.5975359342915811,487,588,0,0,1075,0
Clinical Logistic strong_v2,0.26,0.2608422375864236,0.5757811199289639,487,588,0,0,1075,0
Clinical Logistic strong_v2,0.27,0.2508187320802803,0.5536553120868611,486,585,3,1,1071,4
Clinical Logistic strong_v2,0.28,0.24046511627906972,0.5308008213552361,486,585,3,1,1071,4
Clinical Logistic strong_v2,0.29000000000000004,0.2311693416311824,0.5102814009312548,485,579,9,2,1064,11
Clinical Logistic strong_v2,0.3,0.22059800664451826,0.48694631856849513,484,576,12,3,1060,15
Clinical Logistic strong_v2,0.31,0.20601280754971346,0.45475106389310466,478,571,17,9,1049,26
Clinical Logistic strong_v2,0.32,0.1912995896032832,0.4222732214035512,472,566,22,15,1038,37
Clinical Logistic strong_v2,0.33,0.17828531759805621,0.3935456189279475,466,557,31,21,1023,52
Clinical Logistic strong_v2,0.34,0.16910500352360813,0.37328106527285165,461,542,46,26,1003,72
Clinical Logistic strong_v2,0.35000000000000003,0.15720930232558133,0.3470225872689937,456,533,55,31,989,86
Clinical Logistic strong_v2,0.36000000000000004,0.14994186046511626,0.3309804928131417,452,517,71,35,969,106
Clinical Logistic strong_v2,0.37,0.13652270210409745,0.3013591473550406,441,501,87,46,942,133
Clinical Logistic strong_v2,0.38,0.12255063765941487,0.27051732132211703,429,485,103,58,914,161
Clinical Logistic strong_v2,0.39,0.11313762866946242,0.2497391187262261,417,462,126,70,879,196
Clinical Logistic strong_v2,0.4,0.11224806201550386,0.24777549623545514,404,425,163,83,829,246
Clinical Logistic strong_v2,0.41000000000000003,0.10005518328734725,0.22086103087042772,389,405,183,98,794,281
Clinical Logistic strong_v2,0.42000000000000004,0.08680032076984762,0.191602350775331,375,389,199,112,764,311
Clinical Logistic strong_v2,0.43,0.08246430028559776,0.18203105299182257,364,365,223,123,729,346
Clinical Logistic strong_v2,0.44,0.07355481727574747,0.162364329715459,347,341,247,140,688,387
Clinical Logistic strong_v2,0.45,0.06892177589852011,0.15213739033040888,331,314,274,156,645,430
Clinical Logistic strong_v2,0.46,0.06339362618432387,0.13993459578675188,322,298,290,165,620,455
Clinical Logistic strong_v2,0.47000000000000003,0.06120228170250111,0.13509743907636282,307,272,316,180,579,496
Clinical Logistic strong_v2,0.48000000000000004,0.05130590339892663,0.11325225082925283,285,249,339,202,534,541
Clinical Logistic strong_v2,0.49,0.044669402644778866,0.09860289084833118,269,230,358,218,499,576
Clinical Logistic strong_v2,0.5,0.029767441860465094,0.06570841889117038,247,215,373,240,462,613
Clinical Logistic strong_v2,0.51,0.03386805885144756,0.07476008884046433,230,186,402,257,416,659
Clinical Logistic strong_v2,0.52,0.027906976744186046,0.06160164271047228,212,168,420,275,380,695
Clinical Logistic strong_v2,0.53,0.03709054923305291,0.08187338896413117,200,142,446,287,342,733
Clinical Logistic strong_v2,0.54,0.03280080889787665,0.07240424962056961,182,125,463,305,307,768
Clinical Logistic strong_v2,0.55,0.029664082687338444,0.0654802646589093,170,113,475,317,283,792
Clinical Logistic strong_v2,0.56,0.021564482029598292,0.04760126936718309,153,102,486,334,255,820
Clinical Logistic strong_v2,0.5700000000000001,0.018301784748512684,0.04039921684733293,135,87,501,352,222,853
Clinical Logistic strong_v2,0.5800000000000001,0.014219269102990012,0.0313875036667644,123,78,510,364,201,874
